transactionID,from_account,to_account,clientID,amount,transaction_date,transaction_type,transaction_status
24,1,4,1,408.48,2024-11-16T00:00:00,TRANSFER,FAILED
25,1,,1,581.64,2024-12-21T00:00:00,WITHDRAW,COMPLETED
26,7,,3,358.15,2024-06-26T00:00:00,WITHDRAW,FAILED
27,1,7,1,157.62,2024-03-15T00:00:00,TRANSFER,COMPLETED
28,,1,1,512.91,2024-03-17T00:00:00,DEPOSIT,PENDING
29,7,1,3,943.13,2024-01-08T00:00:00,TRANSFER,COMPLETED
30,1,,1,991.31,2024-07-01T00:00:00,WITHDRAW,COMPLETED
31,7,1,3,74.82,2024-01-05T00:00:00,TRANSFER,PENDING
32,1,,1,824.47,2024-07-28T00:00:00,WITHDRAW,PENDING
33,,1,1,771.11,2024-10-19T00:00:00,DEPOSIT,PENDING
34,1,4,1,328.33,2024-10-02T00:00:00,TRANSFER,COMPLETED
35,4,,2,44.77,2024-03-22T00:00:00,WITHDRAW,PENDING
36,1,,1,746.07,2024-11-14T00:00:00,WITHDRAW,FAILED
37,1,,1,942.62,2024-06-14T00:00:00,WITHDRAW,COMPLETED
38,4,7,2,497.6,2024-02-11T00:00:00,TRANSFER,PENDING
39,,4,2,978.72,2024-07-12T00:00:00,DEPOSIT,FAILED
40,7,4,3,39.96,2024-05-26T00:00:00,TRANSFER,FAILED
41,1,4,1,387.18,2024-01-07T00:00:00,TRANSFER,COMPLETED
42,4,,2,497.29,2024-02-18T00:00:00,WITHDRAW,PENDING
43,,1,1,409.95,2024-05-16T00:00:00,DEPOSIT,COMPLETED
44,7,,3,511.32,2024-09-07T00:00:00,WITHDRAW,COMPLETED
45,1,7,1,664.76,2024-07-10T00:00:00,TRANSFER,COMPLETED
46,4,7,2,409.45,2024-06-22T00:00:00,TRANSFER,COMPLETED
47,7,,3,94.16,2024-06-22T00:00:00,WITHDRAW,FAILED
48,7,,3,579.37,2024-06-17T00:00:00,WITHDRAW,FAILED
49,,4,2,566.22,2024-01-13T00:00:00,DEPOSIT,PENDING
50,1,4,1,588.73,2024-11-09T00:00:00,TRANSFER,FAILED
51,7,,3,158.52,2024-03-11T00:00:00,WITHDRAW,PENDING
52,1,4,1,291.89,2024-01-29T00:00:00,TRANSFER,FAILED
53,,1,1,133.07,2024-08-27T00:00:00,DEPOSIT,PENDING
54,4,,2,188.22,2024-07-27T00:00:00,WITHDRAW,COMPLETED
55,4,7,2,460.71,2024-01-25T00:00:00,TRANSFER,COMPLETED
56,7,4,3,66.98,2024-12-15T00:00:00,TRANSFER,FAILED
57,1,,1,689.5,2024-06-03T00:00:00,WITHDRAW,FAILED
58,,1,1,841.09,2024-04-25T00:00:00,DEPOSIT,COMPLETED
59,7,4,3,632.53,2024-01-11T00:00:00,TRANSFER,PENDING
60,,4,2,163.16,2024-06-02T00:00:00,DEPOSIT,COMPLETED
61,4,,2,108.89,2024-11-22T00:00:00,WITHDRAW,PENDING
62,,4,2,148.46,2024-11-18T00:00:00,DEPOSIT,FAILED
63,,4,2,95.06,2024-01-05T00:00:00,DEPOSIT,COMPLETED
64,,4,2,309.01,2024-10-19T00:00:00,DEPOSIT,FAILED
65,,7,3,267.95,2024-05-14T00:00:00,DEPOSIT,COMPLETED
66,7,1,3,560.75,2024-11-12T00:00:00,TRANSFER,COMPLETED
67,1,,1,499.95,2024-06-01T00:00:00,WITHDRAW,COMPLETED
68,,7,3,769.7,2024-03-27T00:00:00,DEPOSIT,FAILED
69,4,1,2,725.46,2024-06-23T00:00:00,TRANSFER,PENDING
70,,7,3,565.71,2024-05-30T00:00:00,DEPOSIT,COMPLETED
71,,7,3,91.67,2024-08-30T00:00:00,DEPOSIT,COMPLETED
72,1,,1,647.36,2024-05-13T00:00:00,WITHDRAW,COMPLETED
73,,4,2,19.29,2024-11-22T00:00:00,DEPOSIT,PENDING
74,1,4,1,385.05,2024-11-10T00:00:00,TRANSFER,FAILED
75,4,7,2,204.54,2024-08-04T00:00:00,TRANSFER,PENDING
76,1,4,1,912.29,2024-10-09T00:00:00,TRANSFER,COMPLETED
77,7,,3,477.27,2024-09-23T00:00:00,WITHDRAW,FAILED
78,1,,1,406.03,2024-11-18T00:00:00,WITHDRAW,COMPLETED
79,4,,2,983.05,2024-05-10T00:00:00,WITHDRAW,FAILED
80,1,7,1,124.64,2024-07-12T00:00:00,TRANSFER,PENDING
81,,7,3,693.35,2024-10-13T00:00:00,DEPOSIT,COMPLETED
82,,1,1,511.87,2024-12-21T00:00:00,DEPOSIT,COMPLETED
83,4,7,2,453.68,2024-10-23T00:00:00,TRANSFER,FAILED
84,7,,3,120.16,2024-09-24T00:00:00,WITHDRAW,COMPLETED
85,1,7,1,872.72,2024-02-29T00:00:00,TRANSFER,COMPLETED
86,4,7,2,378.41,2024-08-18T00:00:00,TRANSFER,PENDING
87,1,,1,646.82,2024-08-24T00:00:00,WITHDRAW,COMPLETED
88,7,,3,22.74,2024-09-09T00:00:00,WITHDRAW,FAILED
89,1,,1,945.83,2024-03-06T00:00:00,WITHDRAW,PENDING
